name,slug,country,city,homepage
"univeristetet i bologna","univeristetet-i-bologna","italia","bologna", ""
"kungliga tekniska högskolan","kungliga-tekniska-högskolan","sverige","stockholm", ""
"ist - tecniso lisboa","ist---tecniso-lisboa","portugal","lisboa", ""
"eurecom","eurecom","frankrike","biot", ""
"eurecom","eurecom","frankrike","antibes", ""
"università di genova","università-di-genova","italia","genova", ""
"kaist","kaist","korea","daejeon", ""
"hochschule lucerne","hochschule-lucerne","sveits","luzern", ""
"ku leuven","ku-leuven","belgia","leuven", ""
"university of innsbruck","university-of-innsbruck","Østerrike","innsbruck", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"eindhoven university of technology (tu eindhoven)","eindhoven-university-of-technology-(tu-eindhoven)","nederland","eindhoven", ""
"danmarks tekniske universitet","danmarks-tekniske-universitet","danmark","københavn", ""
"ucsd","ucsd","usa","san diego", ""
"university of hawaii at manoa","university-of-hawaii-at-manoa","usa","honolulu", ""
"upv","upv","spania","valencia", ""
"universitat politècnica de valència","universitat-politècnica-de-valència","spania","valencia", ""
"universitet mannheim","universitet-mannheim","tyskland","mannheim", ""
"la sapienza","la-sapienza","italia","roma", ""
"università degli studi di firenze","università-degli-studi-di-firenze","italia","firenze", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"eurecom","eurecom","frankrike","antibes", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"universitat politècnica de valència","universitat-politècnica-de-valència","spania","valencia", ""
"university of hawaii at manoa","university-of-hawaii-at-manoa","usa","honolulu", ""
"ist - instituto superior técnico","ist---instituto-superior-técnico","portugal","lisboa", ""
"la sapienza","la-sapienza","italia","roma", ""
"universita degli studi di firenze (unifi)","universita-degli-studi-di-firenze-(unifi)","italia","firenze", ""
"tu delft","tu-delft","nederland","delft", ""
"chalmers university","chalmers-university","sverige","gothenburg", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"ugent","ugent","belgia","gent", ""
"universita di bologna","universita-di-bologna","italia","bologna", ""
"københavns professionshøjskole","københavns-professionshøjskole","danmark","københavn", ""
"sapienza universita di roma","sapienza-universita-di-roma","italia","roma", ""
"university of california santa barbara","university-of-california-santa-barbara","usa","goleta", ""
"eurecom","eurecom","frankrike","antibes", ""
"universitat politecnica de catalunya","universitat-politecnica-de-catalunya","spania","barcelona", ""
"ucd","ucd","irland","dublin", ""
"university of roehampton","university-of-roehampton","storbritannia","london", ""
"tu delft","tu-delft","nederland","delft", ""
"ku leuven","ku-leuven","belgia","leuven", ""
"københavns universitet","københavns-universitet","danmark","københavn", ""
"upv, universitat politècnica de valència","upv,-universitat-politècnica-de-valència","spania","valencia", ""
"unibo","unibo","italia","bologna", ""
"bme","bme","ungarn","budapest", ""
"czech technical university (ctu)","czech-technical-university-(ctu)","tsjekkia","praha", ""
"dtu","dtu","danmark","københavn", ""
"uc berkeley","uc-berkeley","usa","berkeley", ""
"politecnico di torino","politecnico-di-torino","italia","torino", ""
"ucsd","ucsd","usa","san diego", ""
"tu delft","tu-delft","nederland","delft", ""
"københavns universitet","københavns-universitet","danmark","københavn", ""
"alma mater studiorum università di bologna","alma-mater-studiorum-università-di-bologna","italia","bologna", ""
"technical university of denmark - dtu","technical-university-of-denmark---dtu","danmark","kongens lyngby/københavn", ""
"university of hawaii at manoa","university-of-hawaii-at-manoa","usa","honolulu", ""
"seoul national university","seoul-national-university","korea","seoul", ""
"universidad carlos iii de madrid (uc3m)","universidad-carlos-iii-de-madrid-(uc3m)","spania","madrid", ""
"lunds universitet","lunds-universitet","sverige","lund", ""
"sungkyunkwan university","sungkyunkwan-university","korea","suwon", ""
"sapienza università di roma","sapienza-università-di-roma","italia","roma", ""
"ohio state university","ohio-state-university","usa","columbus, ohio", ""
"uc berkeley","uc-berkeley","usa","berkeley", ""
"danmarks tekniske universitet","danmarks-tekniske-universitet","danmark","lyngby", ""
"universidad de valencia (uv)","universidad-de-valencia-(uv)","spania","valencia", ""
"universita degli studi di padova","universita-degli-studi-di-padova","italia","padova", ""
"university of hawaii","university-of-hawaii","usa","honolulu", ""
"universidad de granada (ugr)","universidad-de-granada-(ugr)","spania","granada", ""
"science po","science-po","frankrike","lyon", ""
"reykjavik university","reykjavik-university","island","reykjavik", ""
"san diego state university","san-diego-state-university","usa","san diego", ""
"harvard university","harvard-university","usa","boston", ""
"czech technical university (ctu)","czech-technical-university-(ctu)","tsjekkia","praha", ""
"ucly","ucly","frankrike","lyon", ""
"university of cape town - uct","university-of-cape-town---uct","sør afrika","cape town", ""
"free university of bozen-bolzano (unibz)","free-university-of-bozen-bolzano-(unibz)","italia","bolzano", ""
"kungliga konsthögskolan","kungliga-konsthögskolan","sverige","stockholm", ""
"california state university, los angeles","california-state-university,-los-angeles","usa","los angeles", ""
"technical university of denmark (dtu)","technical-university-of-denmark-(dtu)","danmark","københavn", ""
"dtu - danmarks tekniske universitet","dtu---danmarks-tekniske-universitet","danmark","københavn", ""
"university of british columbia","university-of-british-columbia","canada","vancouver", ""
"university of california, berkeley","university-of-california,-berkeley","usa","berkeley", ""
"chalmers tekniska hogskola","chalmers-tekniska-hogskola","sverige","göteborg", ""
"texas a&amp;m university","texas-a&amp;m-university","usa","college station", ""
"texas tech university","texas-tech-university","usa","lubbock", ""
"texas a&amp;m","texas-a&amp;m","usa","college station", ""
"danmarks tekniske universitet - dtu","danmarks-tekniske-universitet---dtu","danmark","københavn", ""
"danmarks tekniske universitet - dtu","danmarks-tekniske-universitet---dtu","danmark","københavn", ""
"university of strathclyde","university-of-strathclyde","storbritannia","glasgow", ""
"uc berkeley","uc-berkeley","usa","berkeley", ""
"university of british columbia","university-of-british-columbia","canada","vancouver", ""
"universitetet i bern","universitetet-i-bern","sveits","bern", ""
"university of wisconsin madison","university-of-wisconsin-madison","usa","madison", ""
"vysoká škola báňská – technická univerzita ostrava","vysoká-škola-báňská-–-technická-univerzita-ostrava","tsjekkia","ostrava", ""
"dtu","dtu","danmark","københavn", ""
"london metropolitan university","london-metropolitan-university","storbritannia","london", ""
"budapest university of technology and economics","budapest-university-of-technology-and-economics","ungarn","budapest", ""
"texas a&amp;m university","texas-a&amp;m-university","usa","college station", ""
"tu delft","tu-delft","nederland","delft", ""
"sciences po strasbourg","sciences-po-strasbourg","frankrike","strasbourg", ""
"san diego state university","san-diego-state-university","usa","san diego", ""
"san diego state university","san-diego-state-university","usa","san diego", ""
"sdsu","sdsu","usa","san diego", ""
"sciences po lyon","sciences-po-lyon","frankrike","lyon", ""
"universitetet i padova","universitetet-i-padova","italia","padova", ""
"università degli studi di padova","università-degli-studi-di-padova","italia","padova", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"grenoble inp","grenoble-inp","frankrike","grenoble", ""
"university of glasgow","university-of-glasgow","storbritannia","glasgow", ""
"universitá degli studi di siena","universitá-degli-studi-di-siena","italia","siena", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"università degli studi di siena","università-degli-studi-di-siena","italia","siena", ""
"albert-ludwigs-universität freiburg","albert-ludwigs-universität-freiburg","tyskland","freiburg im breisgau", ""
"management center innsbruck (mci)","management-center-innsbruck-(mci)","Østerrike","innsbruck", ""
"tecnico","tecnico","portugal","lisboa", ""
"uv - universitat de valencia","uv---universitat-de-valencia","spania","valencia", ""
"ist","ist","portugal","lisboa", ""
"national university of singapore","national-university-of-singapore","singapore","singapore", ""
"amsterdam university of applied sciences","amsterdam-university-of-applied-sciences","nederland","amsterdam", ""
"ajou university","ajou-university","korea","suwon", ""
"ajou university","ajou-university","korea","suwon", ""
"hawaii pacific university","hawaii-pacific-university","usa","honolulu", ""
"hawaii pacific university","hawaii-pacific-university","usa","honolulu", ""
"politecninco di milano","politecninco-di-milano","italia","milano", ""
"albert-ludwigs-universität","albert-ludwigs-universität","tyskland","freiburg", ""
"instituto superior tecnico","instituto-superior-tecnico","portugal","lisboa", ""
"eth zürich","eth-zürich","sveits","zürich", ""
"eth zürich","eth-zürich","sveits","zürich", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"ca'foscari","ca'foscari","italia","venezia", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"amsterdam university of applied sciences","amsterdam-university-of-applied-sciences","nederland","amsterdam", ""
"insitituto superior tecnico","insitituto-superior-tecnico","portugal","lisboa", ""
"uc berkeley","uc-berkeley","usa","berkeley", ""
"kth","kth","sverige","stockholm", ""
"instituto superior tecnico","instituto-superior-tecnico","portugal","lisboa", ""
"institut d'études politiques de lyon (sciences po lyon)","institut-d'études-politiques-de-lyon-(sciences-po-lyon)","frankrike","lyon", ""
"università degli studi di torino","università-degli-studi-di-torino","italia","torino", ""
"universität innsbruck","universität-innsbruck","Østerrike","innsbruck", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"universidad de alicante","universidad-de-alicante","spania","alicante", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"management center innsbruck","management-center-innsbruck","Østerrike","innsbruck", ""
"iqs ramon lull","iqs-ramon-lull","spania","barcelona", ""
"politecnico di milano (leonardo)","politecnico-di-milano-(leonardo)","italia","milano", ""
"ist","ist","portugal","lisboa", ""
"iqs - universitat ramon llull","iqs---universitat-ramon-llull","spania","barcelona", ""
"universitat de barcelona","universitat-de-barcelona","spania","barcelona", ""
"kth","kth","sverige","stockholm", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"sapienza universitet i roma","sapienza-universitet-i-roma","italia","roma", ""
"university of york","university-of-york","storbritannia","york", ""
"university of padua","university-of-padua","italia","padova", ""
"university of zürich (uzh)","university-of-zürich-(uzh)","sveits","zürich", ""
"universita di bologna","universita-di-bologna","italia","bologna", ""
"alma","alma","italia","bologna", ""
"university of padua","university-of-padua","italia","padova", ""
"università degli studi di torino","università-degli-studi-di-torino","italia","torino", ""
"instituto superior tècnico","instituto-superior-tècnico","portugal","lisboa", ""
"chung-ang university","chung-ang-university","korea","seoul", ""
"ie university","ie-university","spania","madrid", ""
"uc3m","uc3m","spania","madrid", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"oth-regensburg","oth-regensburg","tyskland","regensburg", ""
"uc berkeley","uc-berkeley","usa","berkeley", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"hong kong polytechnic university","hong-kong-polytechnic-university","kina","hong kong", ""
"hong kong polytechnic university","hong-kong-polytechnic-university","kina","hong kong", ""
"universidad carlos iii de madrid","universidad-carlos-iii-de-madrid","spania","madrid", ""
"ca foscari","ca-foscari","italia","venezia", ""
